titulo,tag,categoria,nota,avaliacoes,telefone,site,instagram,email,endereco,bairro,maps_url
VILA ARABE - PRUDENTE DE MORAIS,,Lanchonete,4.3,485,+55 31 3166-8646,https://www.vilaarabe.com.br/,https://www.instagram.com/vilaarabe,contato@vilaarabe.com,"Av. Prudente de Morais, 1018 - Lj 1014 - Coracao de Jesus, Belo Horizonte - MG, 30380-002, Brasil",Coracao de Jesus,https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20PRUDENTE%20DE%20MORAIS&query_place_id=ChIJK8xtpniXpgARm6SEzqv1GFw
Barolo - Ristorante e Pizzaria,PIZZA,Pizzaria,4.5,460,+55 83 3421-7545,,,,"R. Horácio Nóbrega, 566 - Belo Horizonte, Patos - PB, 58704-000, Brasil",Belo Horizonte,https://www.google.com/maps/search/?api=1&query=Barolo%20-%20Ristorante%20e%20Pizzaria&query_place_id=ChIJq9J-BzRgrwcRbotq2gNz0d4
Mr.Hadesh,,Restaurante,4.5,447,+55 31 3178-1246,,,,"R. Caiapós, 280 - Lj 1 - Nossa Sra. do Carmo, Sete Lagoas - MG, 35700-425, Brasil",Nossa Senhora do Carmo,https://www.google.com/maps/search/?api=1&query=Mr.Hadesh&query_place_id=ChIJQQFqL2xQpgARblbl13LLTKI
Casa Da Pizza BH,PIZZA,Pizzaria,4.4,444,+55 31 3789-0401,https://www.instagram.com/casadapizzabh/,https://www.instagram.com/casadapizzabh/,,"R. Rio de Janeiro, 1226 - Centro, Belo Horizonte - MG, 30160-043, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Casa%20Da%20Pizza%20BH&query_place_id=ChIJAQCma-GZpgARtkBrHjIM41I
Batista Lanches e Pizzas,PIZZA,Pizzaria,4.2,424,+55 43 3251-9128,,,,"R. Belo Horizonte, 1105 - Centro, Cambé - PR, 86181-020, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Batista%20Lanches%20e%20Pizzas&query_place_id=ChIJPweKnehZ65QRmdjrYYpQi2Y
Kame Sushi Restaurante & Delivery,JAPONÊS,Restaurante japonês,4.7,420,+55 31 3234-2120,https://linktr.ee/kamesushibh,,,"Av. Itaité, 412 - São Geraldo, Belo Horizonte - MG, 31050-550, Brasil",São Geraldo,https://www.google.com/maps/search/?api=1&query=Kame%20Sushi%20Restaurante%20%26%20Delivery&query_place_id=ChIJH-9Z87ebpgARqxgB7act0Rc
Charles Burguer,BURGER,Hamburgueria,4.7,403,+55 31 2510-8319,,,,"R. Gentios, 113 - Conj. Santa Maria, Belo Horizonte - MG, 30380-472, Brasil",Conjunto Santa Maria,https://www.google.com/maps/search/?api=1&query=Charles%20Burguer&query_place_id=ChIJuYYFgZCXpgART2tTWLRXsoM
Restaurante Patota - Delivery de Comida,,Delivery,4.1,398,+55 31 3464-3914,https://www.ifood.com.br/delivery/belo-horizonte-mg/restaurante-patota-padre-eustaquio/5037ec69-4da8-4eb1-a8f9-1b7deb958e55,https://www.instagram.com/ifoodbrasil,,"Rua Progresso, 181 - Padre Eustáquio, Belo Horizonte - MG, 30720-320, Brasil",Padre Eustáquio,https://www.google.com/maps/search/?api=1&query=Restaurante%20Patota%20-%20Delivery%20de%20Comida&query_place_id=ChIJOe-56CWXpgARxwTE6O1m8kA
Zulma Gourmet Padaria,,Padaria,4.6,393,+55 94 99274-4455,,,,"R. Paraná, 849-929 - Belo Horizonte, Marabá - PA, 68503-420, Brasil",Belo Horizonte,https://www.google.com/maps/search/?api=1&query=Zulma%20Gourmet%20Padaria&query_place_id=ChIJH6G8oK-gw5IRoWlXg5bBEVY
BH Burguer,BURGER,Hamburgueria,4.2,381,+55 31 99216-6187,https://bhburguer.accon.app/,,,"Rua dos Timbiras, 2752 - Barro Preto, Belo Horizonte - MG, 30140-061, Brasil",Barro Preto,https://www.google.com/maps/search/?api=1&query=BH%20Burguer&query_place_id=ChIJG-jjZl6XpgARvwdOtDom94M
Avenue Burger Shop,BURGER,Hamburgueria,4.7,380,+55 31 3245-3666,https://avenueburgershop.com.br/,http://www.instagram.com/avenueburgershop,,"Avenida Raja Gabaglia, 2.000, R. Alcida Torres, 01 - Loja 06 - Estoril, Belo Horizonte - MG, 30494-170, Brasil",Estoril,https://www.google.com/maps/search/?api=1&query=Avenue%20Burger%20Shop&query_place_id=ChIJkS1O68GXpgAR1RlzGAUsuyQ
Ricardo Hamdan Cozinha Árabe,,Restaurante árabe,4.6,373,+55 31 97171-5170,https://linktr.ee/ricardo_hamdan,,,"Rua Halley, 1075 - Loja 5 - Santa Lúcia, Belo Horizonte - MG, 30110-072, Brasil",Santa Lúcia,https://www.google.com/maps/search/?api=1&query=Ricardo%20Hamdan%20Cozinha%20%C3%81rabe&query_place_id=ChIJPS7Aq7ORpgARmSAzKD1yrJ4
Distrito Pizza Napoletana - Santa Tereza,PIZZA,Pizzaria,4.8,364,+55 31 3157-6657,https://distritopizza.com.br/,,,"Rua Gabro, 90 - Santa Tereza, Belo Horizonte - MG, 31010-170, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Distrito%20Pizza%20Napoletana%20-%20Santa%20Tereza&query_place_id=ChIJZTa5hbibpgARPEIAq68PWQY
Beco D'Itália,,Restaurante italiano,4.7,362,+55 31 99240-2325,https://becoditalia.com.br/,,becoditalia@gmail.com,"R. Alabastro, 59 - Santa Tereza, Belo Horizonte - MG, 31015-068, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Beco%20D'It%C3%A1lia&query_place_id=ChIJx2MztiGapgARwgpSGYmk1SU
Restaurante Romeroeatts,PIZZA,Pizzaria,4.5,351,+55 45 3251-1441,http://www.romeroeatts.com.br/,https://www.instagram.com/romeroeatts,,"Av. Belo Horizonte, n°105, Ouro Verde do Oeste - PR, 85933-000, Brasil",,https://www.google.com/maps/search/?api=1&query=Restaurante%20Romeroeatts&query_place_id=ChIJK9iCuvST85QRHrmswJvMqvM
Shoyu Sushi Delivery,JAPONÊS,Sushi para viagem,4.5,344,+55 31 99375-4901,https://pedido.anota.ai/loja/shoyusushidelivery,,,"R. Florêncio José dos Santos - Alípio de Melo, Belo Horizonte - MG, 30820-630, Brasil",Alípio de Melo,https://www.google.com/maps/search/?api=1&query=Shoyu%20Sushi%20Delivery&query_place_id=ChIJpfo7AKOWpgARMoAHtRcS2oM
Yohei Oriental Fusion - Restaurante Japonês em BH,JAPONÊS,Restaurante japonês,4.7,335,+55 31 3658-8356,https://yoheibh.com.br/,https://www.instagram.com/yoheiorientalfusion,contato@yoheibh.com.br,"Rua Flor de Guambé, 12 - União, Belo Horizonte - MG, 31160-290, Brasil",União,https://www.google.com/maps/search/?api=1&query=Yohei%20Oriental%20Fusion%20-%20Restaurante%20Japon%C3%AAs%20em%20BH&query_place_id=ChIJxdMIuZmbpgARSXB9nLV8TSI
Japão Sushi Bar Delivery,JAPONÊS,Restaurante japonês,4.8,326,+55 31 3141-0277,https://app.cardapioweb.com/japaosushibar,,,"R. Furquim, 297 - Pompéia, Belo Horizonte - MG, 30280-490, Brasil",Pompéia,https://www.google.com/maps/search/?api=1&query=Jap%C3%A3o%20Sushi%20Bar%20Delivery&query_place_id=ChIJee0sW9KbpgARlNXXj3DAS3k
Beirute,,Restaurante do Oriente Médio,4.6,313,+55 31 3344-0713,,,,"Av. Prudente de Morais, 600 - Santo Antônio, Belo Horizonte - MG, 30380-000, Brasil",Santo Antônio,https://www.google.com/maps/search/?api=1&query=Beirute&query_place_id=ChIJAcATTXmXpgAR3gSqbVrRle4
Oriente Temaki (Apenas Delivery),JAPONÊS,Restaurante japonês,4.4,294,+55 31 3222-0894,,,,"R. Coração de Jesus, 130 - Jonas Veiga, Belo Horizonte - MG, 30285-450, Brasil",Jonas Veiga,https://www.google.com/maps/search/?api=1&query=Oriente%20Temaki%20(Apenas%20Delivery)&query_place_id=ChIJhbUT6nS-pgARTMDwmGXPH0A
Boca Cheia Kituteria & Salgados,,Lanchonete,4.2,289,+55 43 3251-3713,http://facebook.com/BocaCheiaSalgados,,bocacheia@hotmail.com,"R. Belo Horizonte, 1186 - Centro, Cambé - PR, 86181-020, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Boca%20Cheia%20Kituteria%20%26%20Salgados&query_place_id=ChIJdzZ81OdZ65QR8H0nCtT7bNo
Santo Burger,BURGER,Hamburgueria,4.9,288,+55 31 98864-4081,,,,"R. Mármore, 21 - Santa Tereza, Belo Horizonte - MG, 31010-220, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Santo%20Burger&query_place_id=ChIJ4fC1WiabpgARKXDbf1eeMXY
Thalid,,Restaurante,4.1,286,+55 31 3774-5493,http://cmidias.my.canva.site/thalidesfiharia,,,"R. Santa Luzia, 582 - New York, Sete Lagoas - MG, 35701-883, Brasil",New York,https://www.google.com/maps/search/?api=1&query=Thalid&query_place_id=ChIJwYPfRGlbpgAR8TZjDhmOk3k
Pizza Pazza Savassi - Nossa Casa | Pizzas & Massas,PIZZA,Pizzaria,4.6,282,+55 31 99982-9039,http://www.pizzapazza.com.br/,,,"Av. do Contorno, 6283 - Lj 02 - Savassi, Belo Horizonte - MG, 30110-931, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Pizza%20Pazza%20Savassi%20-%20Nossa%20Casa%20%7C%20Pizzas%20%26%20Massas&query_place_id=ChIJb0ngZB2ZpgARuzupqRTiYnA
Fogariz Burger House,BURGER,Hamburgueria,4.8,277,+55 31 99513-8039,https://fogarizburgerhouse.saipos.com/home,,,"Avenida Raul Maurão Guimaraes 70 - Palmeiras, Belo Horizonte - MG, 30575-400, Brasil",Palmeiras,https://www.google.com/maps/search/?api=1&query=Fogariz%20Burger%20House&query_place_id=ChIJ_ao2Fe2VpgARz0lyHDLZbqw
Bodega Restaurante,,Restaurante,4.5,264,+55 69 99275-9102,https://instagram.com/restaurante_bodega?utm_medium=copy_link,,,"R. Belo Horizonte, 71 - Embratel, Porto Velho - RO, 76820-732, Brasil",Embratel,https://www.google.com/maps/search/?api=1&query=Bodega%20Restaurante&query_place_id=ChIJnVaYFvRdMpIRmo4RP7ZnRyU
Feijoah Cozinha,,Restaurante,4.6,248,+55 31 97150-5010,,,,"Praça México, 216 - Concórdia, Belo Horizonte - MG, 31110-610, Brasil",Concórdia,https://www.google.com/maps/search/?api=1&query=Feijoah%20Cozinha&query_place_id=ChIJpYpdNg2bpgARRWVZI7vgGgM
Pizzaria e Empadaria dryca,PIZZA,Delivery de Pizza,4.9,241,+55 31 99234-2558,,,,"R. Conselheiro Joaquim Caetano, 921B - Nova Granada, Belo Horizonte - MG, 30431-320, Brasil",Nova Granada,https://www.google.com/maps/search/?api=1&query=Pizzaria%20e%20Empadaria%20dryca&query_place_id=ChIJZR2YSOiXpgARXGIm1OUx0JI
Anthony's Pizzaria - BH,PIZZA,Pizzaria,4.9,235,+55 31 99069-4999,,,,"R. São Joaquim, 646 - Sagrada Família, Belo Horizonte - MG, 31035-470, Brasil",Sagrada Família,https://www.google.com/maps/search/?api=1&query=Anthony's%20Pizzaria%20-%20BH&query_place_id=ChIJ1_AhianHoQARcTCG-EpbxsE
Massala Savassi,,Restaurante indiano,4.9,219,+55 31 3658-9088,https://www.instagram.com/massalarestaurante?igsh=aHJpMTVkdGk2cjJn,,,"Rua dos Inconfidentes, 871 - Savassi, Belo Horizonte - MG, 30140-128, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Massala%20Savassi&query_place_id=ChIJUYA-Fo-ZpgARQQljIWoy8_8
O Burguês - Hamburgueria Clássica | Belo Horizonte,BURGER,Hamburgueria,4,213,+55 31 2555-4480,https://www.oburgues.com/?utm_source=google&utm_medium=gmb&utm_campaign=SAVASSI,https://www.instagram.com/hamburgueriaoburgues,,"R. Maj. Lopes, 47 - Savassi, Belo Horizonte - MG, 30330-050, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=O%20Burgu%C3%AAs%20-%20Hamburgueria%20Cl%C3%A1ssica%20%7C%20Belo%20Horizonte&query_place_id=ChIJmWzPrLOZpgARv0Ya9cR5wbI
Potere pizza em Belo Horizonte - delivery e retirada,PIZZA,Pizzaria,5,212,+55 31 99884-5678,http://poterepizzaria.com/,https://www.instagram.com/poterepizza,,"R. Rigel, 205 - Santa Lúcia, Belo Horizonte - MG, 30360-380, Brasil",Santa Lúcia,https://www.google.com/maps/search/?api=1&query=Potere%20pizza%20em%20Belo%20Horizonte%20-%20delivery%20e%20retirada&query_place_id=ChIJrxnMC7-bpgARNf-JEIP6xVY
Killer Fast Hamburgueria,BURGER,Hamburgueria,4.7,204,+55 31 3191-6836,https://app.cardapioweb.com/killer_fast_hamburgueria,,,"R. Afonso Pena Júnior, 300 - Lj 8 - Cidade Nova, Belo Horizonte - MG, 31170-110, Brasil",Cidade Nova,https://www.google.com/maps/search/?api=1&query=Killer%20Fast%20Hamburgueria&query_place_id=ChIJySW7016bpgARyOfcO8tEIHo
MARMITARIA SABORES DE MINAS,MARMITA,Restaurante,4.8,180,+55 31 99876-3387,,,,"Zap ( 31 97231-1079 RUA PONTE NOVA 798 COLÉGIO BATISTA - Floresta, Belo Horizonte - MG, 31110-150, Brasil",Floresta,https://www.google.com/maps/search/?api=1&query=MARMITARIA%20SABORES%20DE%20MINAS&query_place_id=ChIJM9NHI2CZpgARli-OBBQPeIQ
Rancho Fundo Marmitas Congeladas,MARMITA,Restaurante,4.6,179,+55 31 97140-8191,https://www.ecta.com.br/RanchoFundoExpress-BeloHorizonte,https://www.instagram.com/ecta.tecnologia,,"R. Niquelina, 1705 - Santa Efigênia, Belo Horizonte - MG, 30270-050, Brasil",Santa Efigênia,https://www.google.com/maps/search/?api=1&query=Rancho%20Fundo%20Marmitas%20Congeladas&query_place_id=ChIJXTHnY56bpgARFojlLOGted8
Khalils restaurante Arabe,,Restaurante árabe,4,178,+55 43 98856-1930,https://app.cardapioweb.com/khalils_arabe,,,"R. Belo Horizonte, 1355 - Centro, Londrina - PR, 86020-061, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Khalils%20restaurante%20Arabe&query_place_id=ChIJiXK4kghF65QRHM3lSmGTtJc
Celeiro Cascavel e Restaurante Sem Glúten e Sem Lactose Cascavel Celeiro Grãos da Terra,,Restaurante,4.9,169,+55 45 3306-8055,,,,"R. Belo Horizonte, 1177 - Centro, Cascavel - PR, 85802-228, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Celeiro%20Cascavel%20e%20Restaurante%20Sem%20Gl%C3%BAten%20e%20Sem%20Lactose%20Cascavel%20Celeiro%20Gr%C3%A3os%20da%20Terra&query_place_id=ChIJiQhOcBTU85QRR3Qxchw5dYU
Delivery Tia Vanda BH - Marmitex e Almoço,MARMITA,Restaurante,4.5,169,+55 31 98790-8929,https://instagram.com/deliverytiavanda?igshid=YmMyMTA2M2Y=,,,"Rua Coronel José Benjamim, 366 - Padre Eustáquio, Belo Horizonte - MG, 30720-430, Brasil",Padre Eustáquio,https://www.google.com/maps/search/?api=1&query=Delivery%20Tia%20Vanda%20BH%20-%20Marmitex%20e%20Almo%C3%A7o&query_place_id=ChIJsdT6eT2XpgAREBIcRu7BfB4
Marmita Fitness,MARMITA,Loja de alimentos congelados,4.4,166,+55 31 99111-1041,https://www.marmitafitness.com.br/,https://www.instagram.com/marmitafitnessbh,atendimento@marmitafitness.com.br,"R. dos Astecas, 2660 - Santa Monica, Belo Horizonte - MG, 31530-300, Brasil",Santa Monica,https://www.google.com/maps/search/?api=1&query=Marmita%20Fitness&query_place_id=ChIJdawyji-QpgARVwjxBLcctOA
Demae Culinária Japonesa,JAPONÊS,Restaurante japonês,4.8,165,+55 31 2510-1617,http://www.demaedelivery.com.br/,,,"Rua Pium-Í, 519 - Anchieta, Belo Horizonte - MG, 30310-080, Brasil",Anchieta,https://www.google.com/maps/search/?api=1&query=Demae%20Culin%C3%A1ria%20Japonesa&query_place_id=ChIJybFNb6-XpgARmwhJg6LYZtM
Sobre Braseiro | Hamburgueria Delivery e Eventos de Churrasco,BURGER,Delivery,4.9,151,+55 44 98464-0410,https://sobrebraseiro.com.br/,,,"R. Belo Horizonte, 1234 - Jardim Tamoio, Umuarama - PR, 87505-070, Brasil",Jardim Tamoio,https://www.google.com/maps/search/?api=1&query=Sobre%20Braseiro%20%7C%20Hamburgueria%20Delivery%20e%20Eventos%20de%20Churrasco&query_place_id=ChIJ8TXKZynR8pQRMbFsyHBfBXQ
Hamburgueria Real Babilon,BURGER,Hamburgueria,4.8,142,+55 31 99867-9615,https://cardapio.ai/online/real-babilon,https://instagram.com/cardapio.ai,,"R. Olavo Bernardes, 135 - Havaí, Belo Horizonte - MG, 30570-340, Brasil",Havaí,https://www.google.com/maps/search/?api=1&query=Hamburgueria%20Real%20Babilon&query_place_id=ChIJu-zNdpeXpgARgP-x_hQM6uI
Pirakola Park Pizza,PIZZA,Pizzaria,4.8,129,+55 94 98402-3700,http://instagram.com/pirakolapark,https://instagram.com/pirakolapark,,"R. Sergipe, Quadra 37 - super, Lote 30 - Belo Horizonte, Marabá - PA, 68503-302, Brasil",Belo Horizonte,https://www.google.com/maps/search/?api=1&query=Pirakola%20Park%20Pizza&query_place_id=ChIJPzrzPwChw5IRBHNAm70a8Vg
Bonni Burguer BH,BURGER,Hamburgueria,4.8,122,+55 31 99143-9822,https://delivery.yooga.app/bonni-burguer-/tabs/home,,,"Av. Pinheiros, 915 - Aparecida, Belo Horizonte - MG, 31235-020, Brasil",Aparecida,https://www.google.com/maps/search/?api=1&query=Bonni%20Burguer%20BH&query_place_id=ChIJQXfqHPGRpgARMCh4zFXHYq0
Sushi Hub Bh,JAPONÊS,Restaurante japonês,4.9,121,+55 31 99275-9461,https://sushihubbh.com/,,,"R. Carlos Etiene de Castro, 32 - Serra, Belo Horizonte - MG, 30220-360, Brasil",Serra,https://www.google.com/maps/search/?api=1&query=Sushi%20Hub%20Bh&query_place_id=ChIJaZwH2KOZpgARINtoiNRLVzw
Bejí Sushi Veg,JAPONÊS,Restaurante de sushi,4.7,119,+55 31 99067-1091,https://www.instagram.com/beji.sushiveg/?hl=pt,https://www.instagram.com/beji.sushiveg/?hl=pt,,"Av. Olegário Maciel 742 Loja 3229 - Terceiro Andar - Centro, Belo Horizonte - MG, 30180-114, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Bej%C3%AD%20Sushi%20Veg&query_place_id=ChIJo2BTi2GXpgARsQxWF7RhcZQ
Siry Caskudo BH,BURGER,Hamburgueria,4.9,112,+55 31 98269-4915,https://www.instagram.com/sirycaskudoburguer/,https://www.instagram.com/sirycaskudoburguer/,,"Praça Duque de Caxias, 322 - Santa Tereza, Belo Horizonte - MG, 31010-230, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Siry%20Caskudo%20BH&query_place_id=ChIJQ7Nq9wGZpgARxhVTa1vRuL8
Pizza em Casa,PIZZA,Pizzaria,4.9,112,+55 83 99681-0524,https://pizzaemcasapatos.comercio.net.br/?fbclid=PAZXh0bgNhZW0CMTEAAab4BDJcueWsNJo_doX9yMzlVf1liJcM3HnHZWYtgyPVaeYuHtm_fFKhl0U_aem_sT7nvtJkxsIw2bXBinvVyw#/catalogo,,,"R. Cândido das Laranjeiras, 245 - Belo Horizonte, Patos - PB, 58704-090, Brasil",Belo Horizonte,https://www.google.com/maps/search/?api=1&query=Pizza%20em%20Casa&query_place_id=ChIJ1auDTQBhrwcRHPRQzCoCVW4
Tai-Ching,,Delivery de comida chinesa,4.2,111,+55 31 3227-6665,https://taiching.com.br/,,contato@taiching.com.br,"R. Francisco Deslandes, 689 - Anchieta, Belo Horizonte - MG, 30310-530, Brasil",Anchieta,https://www.google.com/maps/search/?api=1&query=Tai-Ching&query_place_id=ChIJjfqFZ8uZpgARaM2grFewNzs
Mineiro Delivery - Santa Efigênia,,Restaurante,4,99,+55 31 2514-3578,https://www.mineirodelivery.com.br/,https://www.instagram.com/mineirodelivery,,"R. Niquelina, 457 - Santa Efigênia, Belo Horizonte - MG, 30260-100, Brasil",Santa Efigênia,https://www.google.com/maps/search/?api=1&query=Mineiro%20Delivery%20-%20Santa%20Efig%C3%AAnia&query_place_id=ChIJVVXlroiZpgARbb3a1sO4dUI
Donantitto Pizzaria,PIZZA,Pizzaria,4.8,97,+55 43 3339-4040,https://wa.me/554333394040,,,"Av. Jamil Scaff, 1293 - Jardim Belo Horizonte, Londrina - PR, 86037-000, Brasil",Jardim Belo Horizonte,https://www.google.com/maps/search/?api=1&query=Donantitto%20Pizzaria&query_place_id=ChIJieAFOntD65QRywZ_lEBTkak
Restaurante da Angélica,,Restaurante self-service,4.7,96,+55 75 98148-0664,https://www.instagram.com/d_angelica_restaurante?igsh=MXZ1N2QzM2FqdTM5Mw==,,,"R. Belo Horizonte - Centro, Retirolândia - BA, 48750-000, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Restaurante%20da%20Ang%C3%A9lica&query_place_id=ChIJBzA-ft5zEwcRkwpV5urmx2E
Shoyu Delivery - Nova Suissa,JAPONÊS,Restaurante de culinária japonesa com influência ocidental,4.4,93,+55 31 3318-1880,https://pedido.anota.ai/loja/shoyusushidelivery2unidade,,,"Av. Amazonas, 4643 - Centro, Belo Horizonte - MG, 30421-169, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Shoyu%20Delivery%20-%20Nova%20Suissa&query_place_id=ChIJ6zwgiI6XpgARb2fHk3nR3js
Do Neri Restaurante e Petiscaria,,Restaurante,4.8,90,+55 47 99252-8062,,,,"Alameda Belo Horizonte, 205 - Bairro Areias, Camboriú - SC, 88345-067, Brasil",Bairro Areias,https://www.google.com/maps/search/?api=1&query=Do%20Neri%20Restaurante%20e%20Petiscaria&query_place_id=ChIJ91nxTnq12JQRw0CmCef2h1k
Temakeria - Comida Chinesa e Japonesa,JAPONÊS,Restaurante japonês,4.8,90,+55 83 99919-3707,,,,"R. Laurênio de Queiróz, 268 - Belo Horizonte, Patos - PB, 58704-220, Brasil",Belo Horizonte,https://www.google.com/maps/search/?api=1&query=Temakeria%20-%20Comida%20Chinesa%20e%20Japonesa&query_place_id=ChIJB_RbamNhrwcRjaQosVP1x9s
Marmitex Santa Amélia Empório 101,MARMITA,Restaurante,4.3,89,+55 31 98250-4061,https://delivery.yooga.app/emporio-101,,,"Rua Reynaldo Smith Camargos, 326 - Santa Amelia, Belo Horizonte - MG, 31550-290, Brasil",Santa Amelia,https://www.google.com/maps/search/?api=1&query=Marmitex%20Santa%20Am%C3%A9lia%20Emp%C3%B3rio%20101&query_place_id=ChIJG5XIF52RpgAREqw9aZVzbDs
Japa em casa - sushi,JAPONÊS,Delivery de comida chinesa,4.7,88,+55 31 99116-0818,,,,"R. Gararu, 455 - Sagrada Família, Belo Horizonte - MG, 31035-390, Brasil",Sagrada Família,https://www.google.com/maps/search/?api=1&query=Japa%20em%20casa%20-%20sushi&query_place_id=ChIJLdczk_GbpgARobFSKmAVfj0
Leopoldina Pizza - Delivery,PIZZA,Delivery de Pizza,4.9,86,+55 31 99977-9099,https://app.cardapioweb.com/leopoldina_pizza,,,"Rua dos Guajajaras, 1396 - Barro Preto, Belo Horizonte - MG, 30180-099, Brasil",Barro Preto,https://www.google.com/maps/search/?api=1&query=Leopoldina%20Pizza%20-%20Delivery&query_place_id=ChIJj4SgkZ2RpgARuADTRyv3SF4
BM BURGERS & CO,BURGER,Hamburgueria,4.3,76,+55 31 99110-5151,,,,"R. Flórida, 10 - Lj 14 - Sion, Belo Horizonte - MG, 30310-710, Brasil",Sion,https://www.google.com/maps/search/?api=1&query=BM%20BURGERS%20%26%20CO&query_place_id=ChIJWZMYmjeZpgARVKPqc5txmhY
Garcia Marmitaria,MARMITA,Delivery,4.1,75,+55 31 98377-4581,https://marmitariasavassibh.alloy.al/loja/pedidos,,,"R. Viçosa, 11 - São Pedro, Belo Horizonte - MG, 30380-380, Brasil",São Pedro,https://www.google.com/maps/search/?api=1&query=Garcia%20Marmitaria&query_place_id=ChIJwYVA0--XpgARzZxosqv43ro
Divino Sabor Hamburgueria,BURGER,Hamburgueria,4.8,68,+55 48 98412-3512,http://www.divinosaborhamburgueria.com/,,,"Servidão Belo Horizonte, 269 - Monte Verde, Florianópolis - SC, 88032-270, Brasil",Monte Verde,https://www.google.com/maps/search/?api=1&query=Divino%20Sabor%20Hamburgueria&query_place_id=ChIJtVOLXuQ5J5UR7CxPeBSIKqs
Assaf Delivery Árabe,,Delivery,4.5,66,+55 31 99181-8519,https://assafdelivery.com.br/assaf_delivery_arabe,,,"R. Padre Eustáquio, 1948 - Padre Eustáquio, Belo Horizonte - MG, 30720-100, Brasil",Padre Eustáquio,https://www.google.com/maps/search/?api=1&query=Assaf%20Delivery%20%C3%81rabe&query_place_id=ChIJqfisPn2XpgARAXSE_Fz1ivs
Restaurante Casa Verde,,Restaurante,4.7,64,+55 43 99133-6946,https://instagram.com/casaverde_cambe,https://instagram.com/casaverde_cambe,,"R. Belo Horizonte, 1718 - Centro, Cambé - PR, 86181-020, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Restaurante%20Casa%20Verde&query_place_id=ChIJK8vHORFZ65QRuv4YBAkBknY
Della Pizza BH,PIZZA,Pizzaria,4.7,58,+55 31 99556-8713,http://dellapizzabh.com.br/,,,"Rua Coromandel, 149 - Graça, Belo Horizonte - MG, 31140-100, Brasil",Graça,https://www.google.com/maps/search/?api=1&query=Della%20Pizza%20BH&query_place_id=ChIJz_AGChSapgARQFpUg-i_ljQ
Ex Burguer Belo Horizonte,BURGER,Hamburgueria,4.8,56,+55 31 99793-7861,https://menu.anota.ai/loja/ex-burguer?f=msa,,,"R. Corrêa e Castro, 90 - Santa Cruz, Belo Horizonte - MG, 31155-110, Brasil",Santa Cruz,https://www.google.com/maps/search/?api=1&query=Ex%20Burguer%20Belo%20Horizonte&query_place_id=ChIJzfJWHMmbpgAR_0RTy0pRlBA
MARMITEX DA LU,MARMITA,Restaurante,4.5,54,+55 31 3297-4642,,,,"Zap ( 31 97262.8597 - Rua Esperança, 210 - Vila Antena, Belo Horizonte - MG, 30451-750, Brasil",Vila Antena,https://www.google.com/maps/search/?api=1&query=MARMITEX%20DA%20LU&query_place_id=ChIJy7-N07yXpgARM0adwNFL4IA
