titulo,tag,faixa,cidade,categoria,nota,avaliacoes,telefone,site,instagram,email,endereco,bairro,maps_url
Charles Burguer,BURGER,B,Belo Horizonte,Hamburgueria,4.7,403,+55 31 2510-8319,,,,"R. Gentios, 113 - Conj. Santa Maria, Belo Horizonte - MG, 30380-472, Brasil",Conjunto Santa Maria,https://www.google.com/maps/search/?api=1&query=Charles%20Burguer&query_place_id=ChIJuYYFgZCXpgART2tTWLRXsoM
Restaurante Patota - Delivery de Comida,,C,Belo Horizonte,Delivery,4.1,398,+55 31 3464-3914,https://www.ifood.com.br/delivery/belo-horizonte-mg/restaurante-patota-padre-eustaquio/5037ec69-4da8-4eb1-a8f9-1b7deb958e55,https://www.instagram.com/ifoodbrasil,,"Rua Progresso, 181 - Padre Eustáquio, Belo Horizonte - MG, 30720-320, Brasil",Padre Eustáquio,https://www.google.com/maps/search/?api=1&query=Restaurante%20Patota%20-%20Delivery%20de%20Comida&query_place_id=ChIJOe-56CWXpgARxwTE6O1m8kA
BH Burguer,BURGER,C,Belo Horizonte,Hamburgueria,4.2,381,+55 31 99216-6187,https://bhburguer.accon.app/,,,"Rua dos Timbiras, 2752 - Barro Preto, Belo Horizonte - MG, 30140-061, Brasil",Barro Preto,https://www.google.com/maps/search/?api=1&query=BH%20Burguer&query_place_id=ChIJG-jjZl6XpgARvwdOtDom94M
Avenue Burger Shop,BURGER,C,Belo Horizonte,Hamburgueria,4.7,380,+55 31 3245-3666,https://avenueburgershop.com.br/,http://www.instagram.com/avenueburgershop,,"Avenida Raja Gabaglia, 2.000, R. Alcida Torres, 01 - Loja 06 - Estoril, Belo Horizonte - MG, 30494-170, Brasil",Estoril,https://www.google.com/maps/search/?api=1&query=Avenue%20Burger%20Shop&query_place_id=ChIJkS1O68GXpgAR1RlzGAUsuyQ
Ricardo Hamdan Cozinha Árabe,,C,Belo Horizonte,Restaurante árabe,4.6,373,+55 31 97171-5170,https://linktr.ee/ricardo_hamdan,,,"Rua Halley, 1075 - Loja 5 - Santa Lúcia, Belo Horizonte - MG, 30110-072, Brasil",Santa Lúcia,https://www.google.com/maps/search/?api=1&query=Ricardo%20Hamdan%20Cozinha%20%C3%81rabe&query_place_id=ChIJPS7Aq7ORpgARmSAzKD1yrJ4
Distrito Pizza Napoletana - Santa Tereza,PIZZA,C,Belo Horizonte,Pizzaria,4.8,364,+55 31 3157-6657,https://distritopizza.com.br/,,,"Rua Gabro, 90 - Santa Tereza, Belo Horizonte - MG, 31010-170, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Distrito%20Pizza%20Napoletana%20-%20Santa%20Tereza&query_place_id=ChIJZTa5hbibpgARPEIAq68PWQY
Beco D'Itália,,C,Belo Horizonte,Restaurante italiano,4.7,362,+55 31 99240-2325,https://becoditalia.com.br/,,becoditalia@gmail.com,"R. Alabastro, 59 - Santa Tereza, Belo Horizonte - MG, 31015-068, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Beco%20D'It%C3%A1lia&query_place_id=ChIJx2MztiGapgARwgpSGYmk1SU
Shoyu Sushi Delivery,JAPONÊS,C,Belo Horizonte,Sushi para viagem,4.5,344,+55 31 99375-4901,https://pedido.anota.ai/loja/shoyusushidelivery,,,"R. Florêncio José dos Santos - Alípio de Melo, Belo Horizonte - MG, 30820-630, Brasil",Alípio de Melo,https://www.google.com/maps/search/?api=1&query=Shoyu%20Sushi%20Delivery&query_place_id=ChIJpfo7AKOWpgARMoAHtRcS2oM
Yohei Oriental Fusion - Restaurante Japonês em BH,JAPONÊS,C,Belo Horizonte,Restaurante japonês,4.7,335,+55 31 3658-8356,https://yoheibh.com.br/,https://www.instagram.com/yoheiorientalfusion,contato@yoheibh.com.br,"Rua Flor de Guambé, 12 - União, Belo Horizonte - MG, 31160-290, Brasil",União,https://www.google.com/maps/search/?api=1&query=Yohei%20Oriental%20Fusion%20-%20Restaurante%20Japon%C3%AAs%20em%20BH&query_place_id=ChIJxdMIuZmbpgARSXB9nLV8TSI
Japão Sushi Bar Delivery,JAPONÊS,C,Belo Horizonte,Restaurante japonês,4.8,326,+55 31 3141-0277,https://app.cardapioweb.com/japaosushibar,,,"R. Furquim, 297 - Pompéia, Belo Horizonte - MG, 30280-490, Brasil",Pompéia,https://www.google.com/maps/search/?api=1&query=Jap%C3%A3o%20Sushi%20Bar%20Delivery&query_place_id=ChIJee0sW9KbpgARlNXXj3DAS3k
Beirute,,C,Belo Horizonte,Restaurante do Oriente Médio,4.6,313,+55 31 3344-0713,,,,"Av. Prudente de Morais, 600 - Santo Antônio, Belo Horizonte - MG, 30380-000, Brasil",Santo Antônio,https://www.google.com/maps/search/?api=1&query=Beirute&query_place_id=ChIJAcATTXmXpgAR3gSqbVrRle4
Oriente Temaki (Apenas Delivery),JAPONÊS,C,Belo Horizonte,Restaurante japonês,4.4,294,+55 31 3222-0894,,,,"R. Coração de Jesus, 130 - Jonas Veiga, Belo Horizonte - MG, 30285-450, Brasil",Jonas Veiga,https://www.google.com/maps/search/?api=1&query=Oriente%20Temaki%20(Apenas%20Delivery)&query_place_id=ChIJhbUT6nS-pgARTMDwmGXPH0A
Santo Burger,BURGER,C,Belo Horizonte,Hamburgueria,4.9,288,+55 31 98864-4081,,,,"R. Mármore, 21 - Santa Tereza, Belo Horizonte - MG, 31010-220, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Santo%20Burger&query_place_id=ChIJ4fC1WiabpgARKXDbf1eeMXY
Pizza Pazza Savassi - Nossa Casa | Pizzas & Massas,PIZZA,C,Belo Horizonte,Pizzaria,4.6,282,+55 31 99982-9039,http://www.pizzapazza.com.br/,,,"Av. do Contorno, 6283 - Lj 02 - Savassi, Belo Horizonte - MG, 30110-931, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Pizza%20Pazza%20Savassi%20-%20Nossa%20Casa%20%7C%20Pizzas%20%26%20Massas&query_place_id=ChIJb0ngZB2ZpgARuzupqRTiYnA
Fogariz Burger House,BURGER,C,Belo Horizonte,Hamburgueria,4.8,277,+55 31 99513-8039,https://fogarizburgerhouse.saipos.com/home,,,"Avenida Raul Maurão Guimaraes 70 - Palmeiras, Belo Horizonte - MG, 30575-400, Brasil",Palmeiras,https://www.google.com/maps/search/?api=1&query=Fogariz%20Burger%20House&query_place_id=ChIJ_ao2Fe2VpgARz0lyHDLZbqw
